Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,"1,705",89.70
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,"3,575",55.60
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,371,61.90
2016,All Causes,All causes,Alabama,"52,466",920.40
2015,All Causes,All causes,Alabama,"51,909",924.50
2014,All Causes,All causes,Alabama,"50,215",909.10
2013,All Causes,All causes,Alabama,"50,189",925.20
2012,All Causes,All causes,Alabama,"49,301",926.70
2011,All Causes,All causes,Alabama,"48,681",933.60
2010,All Causes,All causes,Alabama,"48,038",939.70
2009,All Causes,All causes,Alabama,"47,470",940.20
2008,All Causes,All causes,Alabama,"47,707",959.70
2007,All Causes,All causes,Alabama,"46,696",957.20
2006,All Causes,All causes,Alabama,"46,977",979.50
2005,All Causes,All causes,Alabama,"47,090","1,001.30"
2004,All Causes,All causes,Alabama,"46,121",998.30
2003,All Causes,All causes,Alabama,"46,716","1,020.20"
2002,All Causes,All causes,Alabama,"46,069","1,013.40"
2001,All Causes,All causes,Alabama,"45,316","1,002.10"
2000,All Causes,All causes,Alabama,"45,062","1,004.80"
1999,All Causes,All causes,Alabama,"44,806","1,009.30"
2016,All Causes,All causes,Alaska,"4,494",745.60
2015,All Causes,All causes,Alaska,"4,316",747.40
2014,All Causes,All causes,Alaska,"4,128",736.80
2013,All Causes,All causes,Alaska,"3,997",724.40
2012,All Causes,All causes,Alaska,"3,912",731.40
2011,All Causes,All causes,Alaska,"3,849",747.80
2010,All Causes,All causes,Alaska,"3,728",771.50
2009,All Causes,All causes,Alaska,"3,618",763.80
2008,All Causes,All causes,Alaska,"3,494",761.30
2007,All Causes,All causes,Alaska,"3,463",780.60
2005,All Causes,All causes,Alaska,"3,168",762.30
2004,All Causes,All causes,Alaska,"3,051",756.70
2003,All Causes,All causes,Alaska,"3,180",843.50
2002,All Causes,All causes,Alaska,"3,030",802.40
2001,All Causes,All causes,Alaska,"2,974",831.30
2000,All Causes,All causes,Alaska,"2,914",869.10
1999,All Causes,All causes,Alaska,"2,708",838.90
2016,All Causes,All causes,Arizona,"56,645",675.80
2015,All Causes,All causes,Arizona,"54,299",671.80
2014,All Causes,All causes,Arizona,"51,538",661.70
2013,All Causes,All causes,Arizona,"50,534",674.20
2012,All Causes,All causes,Arizona,"49,549",682.90
2011,All Causes,All causes,Arizona,"48,381",688.90
2010,All Causes,All causes,Arizona,"46,762",693.10
2009,All Causes,All causes,Arizona,"45,816",693.80
2008,All Causes,All causes,Arizona,"45,823",714.50
2007,All Causes,All causes,Arizona,"45,554",731.00
2006,All Causes,All causes,Arizona,"46,365",767.10
2005,All Causes,All causes,Arizona,"45,827",786.70
2004,All Causes,All causes,Arizona,"43,198",771.10
2003,All Causes,All causes,Arizona,"43,392",798.40
2002,All Causes,All causes,Arizona,"42,816",811.20
2001,All Causes,All causes,Arizona,"41,058",795.90
2000,All Causes,All causes,Arizona,"40,500",810.40
1999,All Causes,All causes,Arizona,"40,050",818.40
2016,All Causes,All causes,Arkansas,"31,756",893.20
2015,All Causes,All causes,Arkansas,"31,617",901.80
2014,All Causes,All causes,Arkansas,"30,467",883.70
2013,All Causes,All causes,Arkansas,"30,437",893.80
2012,All Causes,All causes,Arkansas,"30,117",897.50
2011,All Causes,All causes,Arkansas,"29,653",895.30
2010,All Causes,All causes,Arkansas,"28,916",892.70
2009,All Causes,All causes,Arkansas,"28,673",896.40
2008,All Causes,All causes,Arkansas,"29,322",927.30
2007,All Causes,All causes,Arkansas,"28,191",906.20
2006,All Causes,All causes,Arkansas,"27,901",909.50
2005,All Causes,All causes,Arkansas,"28,055",931.50
2004,All Causes,All causes,Arkansas,"27,528",927.40
2003,All Causes,All causes,Arkansas,"27,918",948.20
2002,All Causes,All causes,Arkansas,"28,513",975.20
2001,All Causes,All causes,Arkansas,"27,759",955.40
2000,All Causes,All causes,Arkansas,"28,217",977.10
1999,All Causes,All causes,Arkansas,"27,925",975.30
2016,All Causes,All causes,California,"262,240",616.90
2015,All Causes,All causes,California,"259,206",621.60
2014,All Causes,All causes,California,"245,929",605.70
2013,All Causes,All causes,California,"248,359",630.10
2012,All Causes,All causes,California,"242,554",630.40
2011,All Causes,All causes,California,"239,942",641.30
2010,All Causes,All causes,California,"234,012",646.70
2009,All Causes,All causes,California,"232,736",655.50
2008,All Causes,All causes,California,"234,766",677.90
2007,All Causes,All causes,California,"233,720",691.70
2006,All Causes,All causes,California,"237,126",718.20
2005,All Causes,All causes,California,"237,037",730.70
2004,All Causes,All causes,California,"232,525",734.30
2003,All Causes,All causes,California,"239,371",768.40
2002,All Causes,All causes,California,"234,565",770.00
2001,All Causes,All causes,California,"234,044",783.20
2000,All Causes,All causes,California,"229,551",787.90
1999,All Causes,All causes,California,"229,380",802.30
2016,All Causes,All causes,Colorado,"37,530",669.50
2015,All Causes,All causes,Colorado,"36,349",665.00
2014,All Causes,All causes,Colorado,"35,237",664.40
2013,All Causes,All causes,Colorado,"33,712",655.40
2012,All Causes,All causes,Colorado,"33,133",665.60
2011,All Causes,All causes,Colorado,"32,563",677.80
2010,All Causes,All causes,Colorado,"31,465",682.70
2009,All Causes,All causes,Colorado,"31,173",689.70
2008,All Causes,All causes,Colorado,"31,274",715.80
2007,All Causes,All causes,Colorado,"29,993",708.00
2006,All Causes,All causes,Colorado,"29,521",720.90
2005,All Causes,All causes,Colorado,"29,627",752.10
2004,All Causes,All causes,Colorado,"28,309",738.50
2003,All Causes,All causes,Colorado,"29,506",792.00
2002,All Causes,All causes,Colorado,"29,210",804.40
2001,All Causes,All causes,Colorado,"28,294",796.10
2000,All Causes,All causes,Colorado,"27,288",792.10
1999,All Causes,All causes,Colorado,"27,114",801.80
2016,All Causes,All causes,Connecticut,"30,543",654.00
2015,All Causes,All causes,Connecticut,"30,535",656.10
2014,All Causes,All causes,Connecticut,"29,860",646.50
2013,All Causes,All causes,Connecticut,"29,632",646.30
2012,All Causes,All causes,Connecticut,"29,316",648.20
2011,All Causes,All causes,Connecticut,"29,526",660.60
2010,All Causes,All causes,Connecticut,"28,692",652.90
2009,All Causes,All causes,Connecticut,"28,585",659.30
2008,All Causes,All causes,Connecticut,"28,794",671.90
2007,All Causes,All causes,Connecticut,"28,651",680.50
2006,All Causes,All causes,Connecticut,"29,260",704.60
2005,All Causes,All causes,Connecticut,"29,467",717.70
2004,All Causes,All causes,Connecticut,"29,314",725.10
2003,All Causes,All causes,Connecticut,"29,627",739.70
2002,All Causes,All causes,Connecticut,"30,122",766.10
2001,All Causes,All causes,Connecticut,"29,827",772.10
2000,All Causes,All causes,Connecticut,"30,129",793.00
1999,All Causes,All causes,Connecticut,"29,446",783.20
2016,All Causes,All causes,Delaware,"8,874",746.20
2015,All Causes,All causes,Delaware,"8,582",741.50
2014,All Causes,All causes,Delaware,"8,260",734.00
2013,All Causes,All causes,Delaware,"7,967",726.80
2012,All Causes,All causes,Delaware,"7,875",745.40
2011,All Causes,All causes,Delaware,"7,845",764.20
2010,All Causes,All causes,Delaware,"7,706",769.90
2009,All Causes,All causes,Delaware,"7,534",768.00
2008,All Causes,All causes,Delaware,"7,622",793.50
2007,All Causes,All causes,Delaware,"7,327",786.10
2006,All Causes,All causes,Delaware,"7,204",795.70
2005,All Causes,All causes,Delaware,"7,472",851.40
2004,All Causes,All causes,Delaware,"7,143",838.20
2003,All Causes,All causes,Delaware,"7,070",852.90
2002,All Causes,All causes,Delaware,"6,861",849.30
2001,All Causes,All causes,Delaware,"7,112",903.10
2000,All Causes,All causes,Delaware,"6,875",897.10
1999,All Causes,All causes,Delaware,"6,666",881.60
2016,All Causes,All causes,District of Columbia,"5,037",766.00
2015,All Causes,All causes,District of Columbia,"4,871",748.60
2014,All Causes,All causes,District of Columbia,"4,723",743.80
2013,All Causes,All causes,District of Columbia,"4,719",752.00
2012,All Causes,All causes,District of Columbia,"4,650",757.20
2011,All Causes,All causes,District of Columbia,"4,589",755.90
2010,All Causes,All causes,District of Columbia,"4,672",792.40
2009,All Causes,All causes,District of Columbia,"4,834",833.30
2008,All Causes,All causes,District of Columbia,"5,140",897.60
2007,All Causes,All causes,District of Columbia,"5,188",911.20
2006,All Causes,All causes,District of Columbia,"5,344",951.70
2005,All Causes,All causes,District of Columbia,"5,483",970.60
2004,All Causes,All causes,District of Columbia,"5,454",972.10
2003,All Causes,All causes,District of Columbia,"5,573",993.00
2002,All Causes,All causes,District of Columbia,"5,851","1,034.10"
2001,All Causes,All causes,District of Columbia,"5,951","1,049.90"
2000,All Causes,All causes,District of Columbia,"6,001","1,061.20"
1999,All Causes,All causes,District of Columbia,"6,076","1,087.30"
2016,All Causes,All causes,Florida,"197,313",666.60
2015,All Causes,All causes,Florida,"191,737",662.90
2014,All Causes,All causes,Florida,"185,956",662.00
2013,All Causes,All causes,Florida,"181,112",663.40
2012,All Causes,All causes,Florida,"177,291",669.90
2011,All Causes,All causes,Florida,"173,976",677.10
2010,All Causes,All causes,Florida,"173,791",701.10
2009,All Causes,All causes,Florida,"169,924",700.10
2008,All Causes,All causes,Florida,"170,703",718.10
2007,All Causes,All causes,Florida,"168,096",723.30
2006,All Causes,All causes,Florida,"170,066",745.60
2005,All Causes,All causes,Florida,"170,791",761.90
2004,All Causes,All causes,Florida,"169,008",771.60
2003,All Causes,All causes,Florida,"168,657",786.70
2002,All Causes,All causes,Florida,"167,814",796.20
2001,All Causes,All causes,Florida,"167,269",806.10
2000,All Causes,All causes,Florida,"164,395",807.80
1999,All Causes,All causes,Florida,"163,224",812.80
2016,All Causes,All causes,Georgia,"81,428",800.40
2015,All Causes,All causes,Georgia,"79,942",808.10
2014,All Causes,All causes,Georgia,"76,887",801.90
2013,All Causes,All causes,Georgia,"75,088",806.20
2012,All Causes,All causes,Georgia,"72,847",808.60
2011,All Causes,All causes,Georgia,"71,248",815.70
2010,All Causes,All causes,Georgia,"71,263",845.40
2009,All Causes,All causes,Georgia,"69,712",842.30
2008,All Causes,All causes,Georgia,"69,640",864.10
2007,All Causes,All causes,Georgia,"68,331",872.00
2006,All Causes,All causes,Georgia,"67,808",890.20
2005,All Causes,All causes,Georgia,"66,736",910.50
2004,All Causes,All causes,Georgia,"65,818",926.40
2003,All Causes,All causes,Georgia,"66,478",956.80
2002,All Causes,All causes,Georgia,"65,449",961.60
2001,All Causes,All causes,Georgia,"64,485",966.40
2000,All Causes,All causes,Georgia,"63,870",981.00
1999,All Causes,All causes,Georgia,"62,028",964.90
2016,All Causes,All causes,Hawaii,"10,913",572.00
2015,All Causes,All causes,Hawaii,"11,053",588.20
2014,All Causes,All causes,Hawaii,"10,767",588.70
2013,All Causes,All causes,Hawaii,"10,505",590.80
2012,All Causes,All causes,Hawaii,"10,274",586.50
2011,All Causes,All causes,Hawaii,"9,923",584.90
2010,All Causes,All causes,Hawaii,"9,617",589.60
2009,All Causes,All causes,Hawaii,"9,914",621.90
2008,All Causes,All causes,Hawaii,"9,501",613.60
2007,All Causes,All causes,Hawaii,"9,495",631.00
2006,All Causes,All causes,Hawaii,"9,432",643.40
2005,All Causes,All causes,Hawaii,"9,136",638.30
2004,All Causes,All causes,Hawaii,"9,030",652.90
2003,All Causes,All causes,Hawaii,"8,978",667.10
2002,All Causes,All causes,Hawaii,"8,801",673.40
2001,All Causes,All causes,Hawaii,"8,394",660.40
2000,All Causes,All causes,Hawaii,"8,290",675.90
1999,All Causes,All causes,Hawaii,"8,270",688.80
2016,All Causes,All causes,Idaho,"13,366",725.00
2015,All Causes,All causes,Idaho,"13,026",727.80
2014,All Causes,All causes,Idaho,"12,613",723.80
2013,All Causes,All causes,Idaho,"12,434",730.60
2012,All Causes,All causes,Idaho,"11,998",726.60
2011,All Causes,All causes,Idaho,"12,027",745.00
2010,All Causes,All causes,Idaho,"11,429",731.60
2009,All Causes,All causes,Idaho,"11,098",725.10
2008,All Causes,All causes,Idaho,"10,962",736.80
2007,All Causes,All causes,Idaho,"10,822",747.00
2006,All Causes,All causes,Idaho,"10,613",756.00
2005,All Causes,All causes,Idaho,"10,556",781.20
2004,All Causes,All causes,Idaho,"10,028",766.20
2003,All Causes,All causes,Idaho,"10,380",812.80
2002,All Causes,All causes,Idaho,"9,923",798.80
2001,All Causes,All causes,Idaho,"9,753",803.50
2000,All Causes,All causes,Idaho,"9,563",809.40
1999,All Causes,All causes,Idaho,"9,579",825.20
2016,All Causes,All causes,Illinois,"107,020",724.30
2015,All Causes,All causes,Illinois,"106,872",728.30
2014,All Causes,All causes,Illinois,"105,293",726.00
2013,All Causes,All causes,Illinois,"103,401",724.00
2012,All Causes,All causes,Illinois,"102,433",728.70
2011,All Causes,All causes,Illinois,"101,906",737.40
2010,All Causes,All causes,Illinois,"99,931",736.90
2009,All Causes,All causes,Illinois,"100,056",746.90
2008,All Causes,All causes,Illinois,"103,471",782.00
2007,All Causes,All causes,Illinois,"100,503",770.30
2006,All Causes,All causes,Illinois,"102,171",794.40
2005,All Causes,All causes,Illinois,"103,974",817.50
2004,All Causes,All causes,Illinois,"102,670",816.80
2003,All Causes,All causes,Illinois,"105,325",846.60
2002,All Causes,All causes,Illinois,"106,667",866.70
2001,All Causes,All causes,Illinois,"105,430",863.50
2000,All Causes,All causes,Illinois,"106,634",883.00
1999,All Causes,All causes,Illinois,"108,436",905.10
2016,All Causes,All causes,Indiana,"63,473",835.00
2015,All Causes,All causes,Indiana,"62,713",833.90
2014,All Causes,All causes,Indiana,"60,940",822.30
2013,All Causes,All causes,Indiana,"60,716",832.20
2012,All Causes,All causes,Indiana,"59,332",827.50
2011,All Causes,All causes,Indiana,"58,202",825.10
2010,All Causes,All causes,Indiana,"56,743",820.60
2009,All Causes,All causes,Indiana,"55,973",820.60
2008,All Causes,All causes,Indiana,"56,752",843.80
2007,All Causes,All causes,Indiana,"54,000",817.10
2006,All Causes,All causes,Indiana,"55,622",856.80
2005,All Causes,All causes,Indiana,"55,675",874.30
2004,All Causes,All causes,Indiana,"54,211",864.10
2003,All Causes,All causes,Indiana,"55,968",902.20
2002,All Causes,All causes,Indiana,"55,396",906.10
2001,All Causes,All causes,Indiana,"55,198",912.70
2000,All Causes,All causes,Indiana,"55,469",929.60
1999,All Causes,All causes,Indiana,"55,303",934.70
2016,All Causes,All causes,Iowa,"29,538",721.10
2015,All Causes,All causes,Iowa,"29,600",724.60
2014,All Causes,All causes,Iowa,"29,190",722.90
2013,All Causes,All causes,Iowa,"28,948",723.70
2012,All Causes,All causes,Iowa,"28,389",718.30
2011,All Causes,All causes,Iowa,"28,184",722.70
2010,All Causes,All causes,Iowa,"27,745",721.70
2009,All Causes,All causes,Iowa,"27,544",723.00
2008,All Causes,All causes,Iowa,"28,541",752.60
2007,All Causes,All causes,Iowa,"27,221",724.20
2006,All Causes,All causes,Iowa,"27,362",736.10
2005,All Causes,All causes,Iowa,"27,811",757.50
2004,All Causes,All causes,Iowa,"26,897",738.30
2003,All Causes,All causes,Iowa,"28,062",776.20
2002,All Causes,All causes,Iowa,"27,978",779.90
2001,All Causes,All causes,Iowa,"27,791",780.10
2000,All Causes,All causes,Iowa,"28,060",794.70
1999,All Causes,All causes,Iowa,"28,411",806.40
2016,All Causes,All causes,Kansas,"26,245",756.80
2015,All Causes,All causes,Kansas,"26,664",774.10
2014,All Causes,All causes,Kansas,"25,793",759.30
2013,All Causes,All causes,Kansas,"25,414",757.70
2012,All Causes,All causes,Kansas,"25,145",761.00
2011,All Causes,All causes,Kansas,"25,116",767.20
2010,All Causes,All causes,Kansas,"24,502",762.20
2009,All Causes,All causes,Kansas,"24,024",757.80
2008,All Causes,All causes,Kansas,"24,975",794.30
2007,All Causes,All causes,Kansas,"24,491",787.80
2006,All Causes,All causes,Kansas,"24,553",802.20
2005,All Causes,All causes,Kansas,"24,682",816.80
2004,All Causes,All causes,Kansas,"23,818",798.00
2003,All Causes,All causes,Kansas,"24,593",829.50
2002,All Causes,All causes,Kansas,"25,021",851.30
2001,All Causes,All causes,Kansas,"24,647",844.40
2000,All Causes,All causes,Kansas,"24,717",850.50
1999,All Causes,All causes,Kansas,"24,472",848.10
2016,All Causes,All causes,Kentucky,"47,827",938.40
2015,All Causes,All causes,Kentucky,"46,564",924.70
2014,All Causes,All causes,Kentucky,"44,838",906.30
2013,All Causes,All causes,Kentucky,"43,759",899.90
2012,All Causes,All causes,Kentucky,"43,664",916.30
2011,All Causes,All causes,Kentucky,"42,626",910.30
2010,All Causes,All causes,Kentucky,"41,983",915.00
2009,All Causes,All causes,Kentucky,"41,380",912.50
2008,All Causes,All causes,Kentucky,"41,329",926.70
2007,All Causes,All causes,Kentucky,"40,090",915.30
2006,All Causes,All causes,Kentucky,"40,102",932.30
2005,All Causes,All causes,Kentucky,"40,223",954.70
2004,All Causes,All causes,Kentucky,"38,646",935.30
2003,All Causes,All causes,Kentucky,"40,241",986.40
2002,All Causes,All causes,Kentucky,"40,697","1,009.70"
2001,All Causes,All causes,Kentucky,"39,861",997.10
2000,All Causes,All causes,Kentucky,"39,504",998.60
1999,All Causes,All causes,Kentucky,"39,321","1,004.10"
2016,All Causes,All causes,Louisiana,"44,306",870.50
2015,All Causes,All causes,Louisiana,"43,716",874.20
2014,All Causes,All causes,Louisiana,"43,869",894.20
2013,All Causes,All causes,Louisiana,"43,270",897.70
2012,All Causes,All causes,Louisiana,"42,320",898.60
2011,All Causes,All causes,Louisiana,"40,890",886.60
2010,All Causes,All causes,Louisiana,"40,667",903.80
2009,All Causes,All causes,Louisiana,"40,282",907.80
2008,All Causes,All causes,Louisiana,"41,220",946.00
2007,All Causes,All causes,Louisiana,"39,966",937.50
2006,All Causes,All causes,Louisiana,"40,045",960.50
2005,All Causes,All causes,Louisiana,"44,355","1,023.70"
2004,All Causes,All causes,Louisiana,"42,215",989.40
2003,All Causes,All causes,Louisiana,"42,719","1,013.70"
2002,All Causes,All causes,Louisiana,"41,984","1,008.50"
2001,All Causes,All causes,Louisiana,"41,757","1,013.10"
2000,All Causes,All causes,Louisiana,"41,138","1,006.30"
1999,All Causes,All causes,Louisiana,"41,238","1,021.60"
2016,All Causes,All causes,Maine,"14,182",759.00
2015,All Causes,All causes,Maine,"14,479",783.50
2014,All Causes,All causes,Maine,"13,510",739.00
2013,All Causes,All causes,Maine,"13,547",754.20
2012,All Causes,All causes,Maine,"12,870",730.40
2011,All Causes,All causes,Maine,"13,001",752.80
2010,All Causes,All causes,Maine,"12,750",749.60
2009,All Causes,All causes,Maine,"12,594",752.60
2008,All Causes,All causes,Maine,"12,541",759.40
2007,All Causes,All causes,Maine,"12,493",771.60
2006,All Causes,All causes,Maine,"12,294",775.10
2005,All Causes,All causes,Maine,"12,868",828.20
2004,All Causes,All causes,Maine,"12,443",813.00
2003,All Causes,All causes,Maine,"12,540",829.80
2002,All Causes,All causes,Maine,"12,694",853.70
2001,All Causes,All causes,Maine,"12,421",848.70
2000,All Causes,All causes,Maine,"12,354",859.40
1999,All Causes,All causes,Maine,"12,261",865.90
2016,All Causes,All causes,Maryland,"48,824",717.60
2015,All Causes,All causes,Maryland,"47,247",705.70
2014,All Causes,All causes,Maryland,"45,867",699.50
2013,All Causes,All causes,Maryland,"45,689",710.40
2012,All Causes,All causes,Maryland,"44,477",709.10
2011,All Causes,All causes,Maryland,"43,745",715.80
2010,All Causes,All causes,Maryland,"43,325",728.60
2009,All Causes,All causes,Maryland,"43,843",750.20
2008,All Causes,All causes,Maryland,"43,892",769.60
2007,All Causes,All causes,Maryland,"43,757",784.00
2006,All Causes,All causes,Maryland,"43,582",795.90
2005,All Causes,All causes,Maryland,"43,892",818.10
2004,All Causes,All causes,Maryland,"43,232",823.70
2003,All Causes,All causes,Maryland,"44,499",864.50
2002,All Causes,All causes,Maryland,"43,970",872.30
2001,All Causes,All causes,Maryland,"43,839",888.00
2000,All Causes,All causes,Maryland,"43,753",908.90
1999,All Causes,All causes,Maryland,"43,089",907.00
2016,All Causes,All causes,Massachusetts,"56,961",669.00
2015,All Causes,All causes,Massachusetts,"57,806",684.80
2014,All Causes,All causes,Massachusetts,"55,200",663.00
2013,All Causes,All causes,Massachusetts,"54,567",663.50
2012,All Causes,All causes,Massachusetts,"53,177",657.90
2011,All Causes,All causes,Massachusetts,"53,710",676.30
2010,All Causes,All causes,Massachusetts,"52,583",675.00
2009,All Causes,All causes,Massachusetts,"52,308",681.40
2008,All Causes,All causes,Massachusetts,"53,518",706.10
2007,All Causes,All causes,Massachusetts,"52,917",709.80
2006,All Causes,All causes,Massachusetts,"53,450",726.80
2005,All Causes,All causes,Massachusetts,"53,874",741.60
2004,All Causes,All causes,Massachusetts,"54,511",758.30
2003,All Causes,All causes,Massachusetts,"56,291",788.70
2002,All Causes,All causes,Massachusetts,"56,928",806.00
2001,All Causes,All causes,Massachusetts,"56,754",811.40
2000,All Causes,All causes,Massachusetts,"56,681",817.90
1999,All Causes,All causes,Massachusetts,"55,840",814.10
2016,All Causes,All causes,Michigan,"96,231",785.40
2015,All Causes,All causes,Michigan,"95,140",784.40
2014,All Causes,All causes,Michigan,"93,914",783.70
2013,All Causes,All causes,Michigan,"92,408",782.30
2012,All Causes,All causes,Michigan,"89,901",774.20
2011,All Causes,All causes,Michigan,"89,508",784.20
2010,All Causes,All causes,Michigan,"88,021",786.20
2009,All Causes,All causes,Michigan,"86,455",783.10
2008,All Causes,All causes,Michigan,"88,445",812.00
2007,All Causes,All causes,Michigan,"86,721",808.10
2006,All Causes,All causes,Michigan,"86,042",816.00
2005,All Causes,All causes,Michigan,"86,867",838.60
2004,All Causes,All causes,Michigan,"85,169",834.10
2003,All Causes,All causes,Michigan,"86,728",860.50
2002,All Causes,All causes,Michigan,"87,795",885.70
2001,All Causes,All causes,Michigan,"86,424",884.00
2000,All Causes,All causes,Michigan,"86,953",904.20
1999,All Causes,All causes,Michigan,"87,232",916.40
2016,All Causes,All causes,Minnesota,"43,078",648.10
2015,All Causes,All causes,Minnesota,"42,800",653.80
2014,All Causes,All causes,Minnesota,"41,445",647.00
2013,All Causes,All causes,Minnesota,"40,987",651.00
2012,All Causes,All causes,Minnesota,"40,016",649.50
2011,All Causes,All causes,Minnesota,"39,820",659.20
2010,All Causes,All causes,Minnesota,"38,972",661.50
